Ticker,Score,Date
INFY.NS,2,2025-07-04
LT.NS,2,2025-07-04
SBIN.NS,2,2025-07-04
MARUTI.NS,2,2025-07-04
RELIANCE.NS,1,2025-07-04
INFY.NS,2,0.000341908261653745,2025-07-04 00:28
RELIANCE.NS,1,0.0030524301215631546,2025-07-04 00:28
TCS.NS,1,-0.0023796535134481987,2025-07-04 00:28
INFY.NS,2,0.000341908261653745,2025-07-04 00:39
RELIANCE.NS,1,0.0030524301215631546,2025-07-04 00:39
TCS.NS,1,-0.0023796535134481987,2025-07-04 00:39
INFY.NS,2,0.000341908261653745,2025-07-04 02:05
RELIANCE.NS,1,0.0030524301215631546,2025-07-04 02:05
TCS.NS,1,-0.0023796535134481987,2025-07-04 02:05
INFY.NS,2,0.000341908261653745,2025-07-04 02:15
RELIANCE.NS,1,0.0030524301215631546,2025-07-04 02:15
TCS.NS,1,-0.0023796535134481987,2025-07-04 02:15
INFY.NS,2,0.000341908261653745,2025-07-04 02:15
RELIANCE.NS,1,0.0030524301215631546,2025-07-04 02:15
TCS.NS,1,-0.0023796535134481987,2025-07-04 02:15
